Base Peak MZ,Component RT,Base Peak Area,Component Area,Compound Name,Match Factor,Sample Name,File Name
35.05,4.93319825797081,213.248666885375,933.6041383718,"1,2,4,5-Tetrazin-3-amine, 6-methyl-",64.5107886233759,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
83,4.94590985138052,509.056842322353,1494.9537269352,"3,3-Diethoxy-1-propyne",72.4284426604848,V9.9_cx.zm3_01192021_mature,V9.9_cx.zm3_01192021_mature.D
40,5.04088996620201,407.704299145771,938.032864990145,2-Cyanosuccinonitrile,66.243627621441,V13.1_ec.si2_01272021_mature,V13.1_ec.si2_01272021_mature.D
67,5.05740097437924,2160.5454903727,18146.6288247574,"3-Hexen-1-ol, (E)-",87.7395101896878,V7.3_dx.aa4_01042021_young,V7.3_dx.aa4_01042021_young.D
66.98,5.05752856780815,1572.60331597265,7371.98603219189,cis-3-Hexenyl crotonate,85.2259916477085,V9.11_cx.zm4_01192021_mature,V9.11_cx.zm4_01192021_mature.D
55,5.05781439020862,1400.29868260151,6841.7115582223,"1-Pentene, 4,4-dimethyl-",74.9107622567055,V13.3_ec.si1_01272021_mature,V13.3_ec.si1_01272021_mature.D
54.99,5.05786930573169,1374.72627608448,15872.7928973486,2-Ethyl-3-vinyloxirane,73.3457721800146,V13.3_ec.si1_01272021_mature,V13.3_ec.si1_01272021_mature.D
67,5.0586926036236,1515.315492857,4693.12434238952,(Z)-(Z)-Hex-3-en-1-yl 2-methylbut-2-enoate,80.3782713483891,V9.1_cx.ft3_01182021_mature,V9.1_cx.ft3_01182021_mature.D
67.03,5.05963611043858,1515.315492857,3256.50925093798,Pyrrole,60.0359782050998,V9.1_cx.ft3_01182021_mature,V9.1_cx.ft3_01182021_mature.D
67.04,5.06163702630248,714.796670035818,1651.32960274944,"3-Hexen-1-ol, formate, (Z)-",71.381393020741,V6.2_ec.al2_12312020_young,V6.2_ec.al2_12312020_young.D
67,5.062848308514,1175.63507714272,4556.17439853374,cis-3-Hexenyl crotonate,83.255820294619,V8.2_dc.ts2_01052021_young,V8.2_dc.ts2_01052021_young.D
67.03,5.06744010759846,912.021710015562,2485.35498321589,"3-Hexen-1-ol, formate, (Z)-",84.2595702396158,V9.9_cx.zm3_01192021_mature,V9.9_cx.zm3_01192021_mature.D
43.01,5.14672311779666,2784.60536796147,5712.1117051861,1-Methoxy-2-propyl acetate,83.7026321451911,V9.1_cx.ft3_01182021_mature,V9.1_cx.ft3_01182021_mature.D
43,5.14764249196239,3052.72101894431,6930.42841516357,1-Methoxy-2-propyl acetate,81.8002222550185,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
43,5.14785352097415,3446.76756473814,6933.15119690532,1-Methoxy-2-propyl acetate,82.7669057276679,V13.3_ec.si1_01272021_mature,V13.3_ec.si1_01272021_mature.D
